state_name,month_of_crash,timestamp_of_crash,latitude,longitude,route_signing_name,first_harmful_event_name,number_of_fatalities,number_of_drunk_drivers,age,sex,person_type_name,police_reported_alcohol_involvement,police_reported_drug_involvement,non_motorist_safety_equipment_use
Delaware,9,2016-09-16 19:38:00 UTC,39.62261944,-75.68358889,U.S. Highway,Pedestrian,1,0,26,Female,Driver of a Motor Vehicle In-Transport,No (Alcohol Not Involved),Not Reported,None Used
Delaware,11,2016-11-14 20:17:00 UTC,39.81965,-75.54781944,U.S. Highway,Pedestrian,1,0,73,Male,Driver of a Motor Vehicle In-Transport,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Delaware,12,2016-12-03 01:39:00 UTC,39.00591111,-75.54488056,State Highway,Pedestrian,1,0,25,Female,Occupant of a Motor Vehicle Not In-Transport,Not Reported,Not Reported,None Used
Delaware,12,2016-12-02 16:19:00 UTC,39.73693889,-75.55366944,Local Street – Municipality,Pedestrian,1,0,61,Male,Driver of a Motor Vehicle In-Transport,No (Alcohol Not Involved),No (Drugs Not Involved),Unknown if Used
Delaware,12,2016-12-03 01:39:00 UTC,39.00591111,-75.54488056,State Highway,Pedestrian,1,0,47,Male,Occupant of a Motor Vehicle Not In-Transport,Not Reported,Not Reported,None Used
Massachusetts,9,2016-09-09 10:45:00 UTC,42.14908889,-72.50572778,U.S. Highway,Pedestrian,1,1,66,Male,Driver of a Motor Vehicle In-Transport,Yes (Alcohol Involved),Not Reported,Not Reported
Iowa,4,2016-04-06 20:01:00 UTC,41.53282778,-93.62573056,Local Street – Municipality,Pedestrian,1,0,21,Male,Driver of a Motor Vehicle In-Transport,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Delaware,9,2016-09-12 20:28:00 UTC,39.20458056,-75.56231944,U.S. Highway,Pedestrian,1,0,22,Male,Driver of a Motor Vehicle In-Transport,No (Alcohol Not Involved),Not Reported,Lighting
Delaware,9,2016-09-12 20:28:00 UTC,39.20458056,-75.56231944,U.S. Highway,Pedestrian,1,0,22,Male,Driver of a Motor Vehicle In-Transport,No (Alcohol Not Involved),Not Reported,"Reflective Clothing (Jacket, Backpack, etc.)"
Alaska,1,2016-01-17 17:18:00 UTC,61.20771111,-149.86691944,State Highway,Motor Vehicle in Transport,1,1,37,Female,Passenger of a Motor Vehicle In-Transport,No (Alcohol Not Involved),No (Drugs Not Involved),Unknown if Used
Alaska,1,2016-01-17 17:18:00 UTC,61.20771111,-149.86691944,State Highway,Motor Vehicle in Transport,1,1,45,Female,Passenger of a Motor Vehicle In-Transport,Yes (Alcohol Involved),No (Drugs Not Involved),Unknown if Used
Delaware,12,2016-12-03 01:39:00 UTC,39.00591111,-75.54488056,State Highway,Pedestrian,1,0,47,Male,Driver of a Motor Vehicle In-Transport,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
New Hampshire,11,2016-11-22 17:14:00 UTC,43.33239444,-70.98351944,State Highway,Pedestrian,1,1,72,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),None Used
Massachusetts,11,2016-11-29 16:43:00 UTC,42.40923333,-72.09775833,State Highway,Pedestrian,1,1,66,Male,Pedestrian,Not Reported,Not Reported,None Used
Hawaii,3,2016-03-17 19:34:00 UTC,21.310775,-157.86179167,Local Street – Municipality,Pedestrian,1,0,56,Male,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),Not Reported
Montana,3,2016-03-23 12:20:00 UTC,45.94769444,-108.14900833,Local Street – Township,Pedestrian,1,0,89,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Delaware,9,2016-09-02 01:23:00 UTC,39.14278056,-75.52273889,Local Street – Municipality,Pedestrian,1,0,42,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),None Used
Hawaii,7,2016-07-03 21:58:00 UTC,21.43972222,-158.18613333,State Highway,Pedestrian,1,0,51,Female,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),Not Reported
Nebraska,1,2016-01-28 00:00:00 UTC,42.43912222,-96.433175,County Road,Pedestrian,1,0,73,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),None Used
Vermont,3,2016-03-11 08:26:00 UTC,43.96726944,-73.11656944,U.S. Highway,Pedestrian,1,0,75,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Helmet
Vermont,3,2016-03-11 08:26:00 UTC,43.96726944,-73.11656944,U.S. Highway,Pedestrian,1,0,75,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Other Safety Equipment
Vermont,3,2016-03-11 08:26:00 UTC,43.96726944,-73.11656944,U.S. Highway,Pedestrian,1,0,75,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),"Reflective Clothing (Jacket, Backpack, etc.)"
Hawaii,11,2016-11-25 19:54:00 UTC,20.880725,-156.44691944,County Road,Pedestrian,1,0,30,Female,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),Not Reported
Idaho,11,2016-11-10 12:47:00 UTC,43.57595278,-116.592975,Local Street – Municipality,Pedalcyclist,1,0,52,Male,Bicyclist,No (Alcohol Not Involved),No (Drugs Not Involved),Unknown if Used
Maine,8,2016-08-12 17:44:00 UTC,43.59401944,-70.32793333,State Highway,Pedestrian,1,0,76,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Massachusetts,9,2016-09-25 05:38:00 UTC,42.40450556,-71.07954444,State Highway,Pedestrian,1,0,41,Male,Pedestrian,Not Reported,Not Reported,None Used
Massachusetts,6,2016-06-28 02:35:00 UTC,42.42636389,-71.10300833,Interstate,Pedestrian,1,1,52,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),"Reflective Clothing (Jacket, Backpack, etc.)"
West Virginia,5,2016-05-11 05:06:00 UTC,40.04489722,-80.60531111,Interstate,Pedestrian,1,0,25,Female,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),None Used
New Hampshire,9,2016-09-30 04:02:00 UTC,43.13759722,-70.90691389,U.S. Highway,Pedestrian,1,0,22,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),None Used
